Source,Target,Weight
中国工商银行股份有限公司-华安逆向策略混合型证券投资基金,中国建设银行股份有限公司-华安国企改革主题灵活配置混合型证券投资基金,1
中国工商银行-南方隆元产业主题股票型证券投资基金,中国工商银行股份有限公司-农银汇理信息传媒主题股票型证券投资基金,1
中国工商银行-南方隆元产业主题股票型证券投资基金,中国建设银行股份有限公司-华安国企改革主题灵活配置混合型证券投资基金,1
中国工商银行股份有限公司-农银汇理信息传媒主题股票型证券投资基金,中国建设银行股份有限公司-华安国企改革主题灵活配置混合型证券投资基金,1
全国社保基金一零四组合,全国社保基金五零三组合,1
全国社保基金一一四组合,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,1
全国社保基金一一四组合,中国节能减排有限公司,1
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,中国节能减排有限公司,1
全国社保基金一一三组合,中央汇金资产管理有限责任公司,1
全国社保基金一一三组合,香港中央结算有限公司,1
中央汇金资产管理有限责任公司,香港中央结算有限公司,1
中国证券金融股份有限公司,全国社保基金一零三组合,1
中国证券金融股份有限公司,中央汇金资产管理有限责任公司,1
中国证券金融股份有限公司,香港中央结算有限公司,1
全国社保基金一零三组合,中央汇金资产管理有限责任公司,1
全国社保基金一零三组合,香港中央结算有限公司,1
中央汇金资产管理有限责任公司,香港中央结算有限公司,1
香港中央结算有限公司,中国农业银行股份有限公司-安信比较优势灵活配置混合型证券投资基金,1
香港中央结算有限公司,全国社保基金一零二组合,1
中国农业银行股份有限公司-安信比较优势灵活配置混合型证券投资基金,全国社保基金一零二组合,1
中国证券金融股份有限公司,中国工商银行-易方达价值成长混合型证券投资基金,1
中国证券金融股份有限公司,中央汇金资产管理有限责任公司,1
中国证券金融股份有限公司,全国社保基金一零九组合,1
中国工商银行-易方达价值成长混合型证券投资基金,中央汇金资产管理有限责任公司,1
中国工商银行-易方达价值成长混合型证券投资基金,全国社保基金一零九组合,1
中央汇金资产管理有限责任公司,全国社保基金一零九组合,1
中国证券金融股份有限公司,中国工商银行股份有限公司-银华鑫盛定增灵活配置混合型证券投资基金,1
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,中央汇金资产管理有限责任公司,1
中国长城资产管理股份有限公司,中央汇金资产管理有限责任公司,1
中国长城资产管理股份有限公司,中国工商银行股份有限公司-南方大数据100指数证券投资基金,1
中央汇金资产管理有限责任公司,中国工商银行股份有限公司-南方大数据100指数证券投资基金,1
中国银河证券股份有限公司,全国社保基金一零四组合,1
中央汇金资产管理有限责任公司,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,1
