Source,Target,Weight
深圳市康哲药业有限公司,天津康哲医药科技发展有限公司,1
深圳市康哲药业有限公司,中泰证券股份有限公司,1
深圳市康哲药业有限公司,西藏源江创业投资合伙企业(有限合伙),1
深圳市康哲药业有限公司,西藏自治区生产力促进中心,1
天津康哲医药科技发展有限公司,中泰证券股份有限公司,1
天津康哲医药科技发展有限公司,西藏源江创业投资合伙企业(有限合伙),1
天津康哲医药科技发展有限公司,西藏自治区生产力促进中心,1
中泰证券股份有限公司,西藏源江创业投资合伙企业(有限合伙),1
中泰证券股份有限公司,西藏自治区生产力促进中心,1
西藏源江创业投资合伙企业(有限合伙),西藏自治区生产力促进中心,1
辽渔集团有限公司,山东高速集团有限公司,1
辽渔集团有限公司,长江养老保险股份有限公司-长江养老企业员工持股专项集合型团体养老保障管理产品-渤海轮渡,1
辽渔集团有限公司,兴业证券股份有限公司,1
山东高速集团有限公司,长江养老保险股份有限公司-长江养老企业员工持股专项集合型团体养老保障管理产品-渤海轮渡,1
山东高速集团有限公司,兴业证券股份有限公司,1
长江养老保险股份有限公司-长江养老企业员工持股专项集合型团体养老保障管理产品-渤海轮渡,兴业证券股份有限公司,1
苏州柯利达集团有限公司,苏州弘普投资管理中心(有限合伙),1
苏州柯利达集团有限公司,兴业国际信托有限公司-兴安8号集合资金信托,1
苏州柯利达集团有限公司,深圳量子基金管理有限公司-量子2号私募证券投资基金,1
苏州弘普投资管理中心(有限合伙),兴业国际信托有限公司-兴安8号集合资金信托,1
苏州弘普投资管理中心(有限合伙),深圳量子基金管理有限公司-量子2号私募证券投资基金,1
兴业国际信托有限公司-兴安8号集合资金信托,深圳量子基金管理有限公司-量子2号私募证券投资基金,1
启迪科技服务有限公司,桑德集团有限公司,1
启迪科技服务有限公司,清华控股有限公司,1
启迪科技服务有限公司,清控资产管理有限公司,1
启迪科技服务有限公司,爱尔医疗投资集团有限公司,1
桑德集团有限公司,清华控股有限公司,1
桑德集团有限公司,清控资产管理有限公司,1
桑德集团有限公司,爱尔医疗投资集团有限公司,1
清华控股有限公司,清控资产管理有限公司,1
清华控股有限公司,爱尔医疗投资集团有限公司,1
清控资产管理有限公司,爱尔医疗投资集团有限公司,1
昌吉州首创投资有限合伙企业,中信信托有限责任公司-中信信托成泉汇涌八期金融投资集合资金信托计划,1
昌吉州首创投资有限合伙企业,上海鹿捷企业管理咨询合伙企业(有限合伙),1
昌吉州首创投资有限合伙企业,厦门国际信托有限公司-证德一号证券投资集合资金信托计划,1
中信信托有限责任公司-中信信托成泉汇涌八期金融投资集合资金信托计划,上海鹿捷企业管理咨询合伙企业(有限合伙),1
中信信托有限责任公司-中信信托成泉汇涌八期金融投资集合资金信托计划,厦门国际信托有限公司-证德一号证券投资集合资金信托计划,1
上海鹿捷企业管理咨询合伙企业(有限合伙),厦门国际信托有限公司-证德一号证券投资集合资金信托计划,1
海澜集团有限公司,荣基国际(香港)有限公司,1
海澜集团有限公司,深圳市腾讯普和有限合伙企业(有限合伙),1
海澜集团有限公司,江阴恒盛国际贸易有限公司,1
海澜集团有限公司,国星集团有限公司,1
海澜集团有限公司,江阴市晟汇国际贸易有限公司,1
海澜集团有限公司,招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金,1
荣基国际(香港)有限公司,深圳市腾讯普和有限合伙企业(有限合伙),1
荣基国际(香港)有限公司,江阴恒盛国际贸易有限公司,1
荣基国际(香港)有限公司,国星集团有限公司,1
荣基国际(香港)有限公司,江阴市晟汇国际贸易有限公司,1
荣基国际(香港)有限公司,招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金,1
深圳市腾讯普和有限合伙企业(有限合伙),江阴恒盛国际贸易有限公司,1
深圳市腾讯普和有限合伙企业(有限合伙),国星集团有限公司,1
深圳市腾讯普和有限合伙企业(有限合伙),江阴市晟汇国际贸易有限公司,1
深圳市腾讯普和有限合伙企业(有限合伙),招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金,1
江阴恒盛国际贸易有限公司,国星集团有限公司,1
江阴恒盛国际贸易有限公司,江阴市晟汇国际贸易有限公司,1
江阴恒盛国际贸易有限公司,招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金,1
国星集团有限公司,江阴市晟汇国际贸易有限公司,1
国星集团有限公司,招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金,1
江阴市晟汇国际贸易有限公司,招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金,1
哈尔滨铁路局,共青城羽绒服装创业基地公共服务有限公司,1
哈尔滨铁路局,黑龙江虹通运输服务有限责任公司,1
共青城羽绒服装创业基地公共服务有限公司,黑龙江虹通运输服务有限责任公司,1
杭州老板实业集团有限公司,宁波银洋创业投资合伙企业(有限合伙),1
苏州彭博创业投资企业(有限合伙),常州市中科江南股权投资中心(有限合伙),1
苏州彭博创业投资企业(有限合伙),盐城市中科盐发创业投资企业(有限合伙),1
苏州彭博创业投资企业(有限合伙),宜兴中科金源创业投资企业(有限合伙),1
苏州彭博创业投资企业(有限合伙),常熟市中科虞山创业投资企业(有限合伙),1
苏州彭博创业投资企业(有限合伙),张家港中科龙江创业投资企业(有限合伙),1
苏州彭博创业投资企业(有限合伙),昆山创伟投资管理企业(有限合伙),1
常州市中科江南股权投资中心(有限合伙),盐城市中科盐发创业投资企业(有限合伙),1
常州市中科江南股权投资中心(有限合伙),宜兴中科金源创业投资企业(有限合伙),1
常州市中科江南股权投资中心(有限合伙),常熟市中科虞山创业投资企业(有限合伙),1
常州市中科江南股权投资中心(有限合伙),张家港中科龙江创业投资企业(有限合伙),1
常州市中科江南股权投资中心(有限合伙),昆山创伟投资管理企业(有限合伙),1
盐城市中科盐发创业投资企业(有限合伙),宜兴中科金源创业投资企业(有限合伙),1
盐城市中科盐发创业投资企业(有限合伙),常熟市中科虞山创业投资企业(有限合伙),1
盐城市中科盐发创业投资企业(有限合伙),张家港中科龙江创业投资企业(有限合伙),1
盐城市中科盐发创业投资企业(有限合伙),昆山创伟投资管理企业(有限合伙),1
宜兴中科金源创业投资企业(有限合伙),常熟市中科虞山创业投资企业(有限合伙),1
宜兴中科金源创业投资企业(有限合伙),张家港中科龙江创业投资企业(有限合伙),1
宜兴中科金源创业投资企业(有限合伙),昆山创伟投资管理企业(有限合伙),1
常熟市中科虞山创业投资企业(有限合伙),张家港中科龙江创业投资企业(有限合伙),1
常熟市中科虞山创业投资企业(有限合伙),昆山创伟投资管理企业(有限合伙),1
张家港中科龙江创业投资企业(有限合伙),昆山创伟投资管理企业(有限合伙),1
中天科技集团有限公司,长城国泰(舟山)产业并购重组基金合伙企业(有限合伙),1
中天科技集团有限公司,北信瑞丰基金-招商银行-华润深国投信托-华润信托·皓熙定增1号集合资金信托计划,1
中天科技集团有限公司,融通资本-招商银行-粤财信托-粤财信托-定增宝1号基金集合资金信托计划,1
中天科技集团有限公司,平安大华基金-浦发银行-云南国际信托-云信智兴2017-213号单一资金信托,1
中天科技集团有限公司,西藏鸿铭投资有限公司,1
中天科技集团有限公司,中融基金-平安银行-中融国际信托-中融信托-融耀定增22号单一资金信托,1
中天科技集团有限公司,天安人寿保险股份有限公司-传统产品,1
长城国泰(舟山)产业并购重组基金合伙企业(有限合伙),北信瑞丰基金-招商银行-华润深国投信托-华润信托·皓熙定增1号集合资金信托计划,1
长城国泰(舟山)产业并购重组基金合伙企业(有限合伙),融通资本-招商银行-粤财信托-粤财信托-定增宝1号基金集合资金信托计划,1
长城国泰(舟山)产业并购重组基金合伙企业(有限合伙),平安大华基金-浦发银行-云南国际信托-云信智兴2017-213号单一资金信托,1
长城国泰(舟山)产业并购重组基金合伙企业(有限合伙),西藏鸿铭投资有限公司,1
长城国泰(舟山)产业并购重组基金合伙企业(有限合伙),中融基金-平安银行-中融国际信托-中融信托-融耀定增22号单一资金信托,1
长城国泰(舟山)产业并购重组基金合伙企业(有限合伙),天安人寿保险股份有限公司-传统产品,1
北信瑞丰基金-招商银行-华润深国投信托-华润信托·皓熙定增1号集合资金信托计划,融通资本-招商银行-粤财信托-粤财信托-定增宝1号基金集合资金信托计划,1
北信瑞丰基金-招商银行-华润深国投信托-华润信托·皓熙定增1号集合资金信托计划,平安大华基金-浦发银行-云南国际信托-云信智兴2017-213号单一资金信托,1
北信瑞丰基金-招商银行-华润深国投信托-华润信托·皓熙定增1号集合资金信托计划,西藏鸿铭投资有限公司,1
北信瑞丰基金-招商银行-华润深国投信托-华润信托·皓熙定增1号集合资金信托计划,中融基金-平安银行-中融国际信托-中融信托-融耀定增22号单一资金信托,1
北信瑞丰基金-招商银行-华润深国投信托-华润信托·皓熙定增1号集合资金信托计划,天安人寿保险股份有限公司-传统产品,1
融通资本-招商银行-粤财信托-粤财信托-定增宝1号基金集合资金信托计划,平安大华基金-浦发银行-云南国际信托-云信智兴2017-213号单一资金信托,1
融通资本-招商银行-粤财信托-粤财信托-定增宝1号基金集合资金信托计划,西藏鸿铭投资有限公司,1
融通资本-招商银行-粤财信托-粤财信托-定增宝1号基金集合资金信托计划,中融基金-平安银行-中融国际信托-中融信托-融耀定增22号单一资金信托,1
融通资本-招商银行-粤财信托-粤财信托-定增宝1号基金集合资金信托计划,天安人寿保险股份有限公司-传统产品,1
平安大华基金-浦发银行-云南国际信托-云信智兴2017-213号单一资金信托,西藏鸿铭投资有限公司,1
平安大华基金-浦发银行-云南国际信托-云信智兴2017-213号单一资金信托,中融基金-平安银行-中融国际信托-中融信托-融耀定增22号单一资金信托,1
平安大华基金-浦发银行-云南国际信托-云信智兴2017-213号单一资金信托,天安人寿保险股份有限公司-传统产品,1
西藏鸿铭投资有限公司,中融基金-平安银行-中融国际信托-中融信托-融耀定增22号单一资金信托,1
西藏鸿铭投资有限公司,天安人寿保险股份有限公司-传统产品,1
中融基金-平安银行-中融国际信托-中融信托-融耀定增22号单一资金信托,天安人寿保险股份有限公司-传统产品,1
深圳市皇庭投资管理有限公司,深圳市皇庭产业控股有限公司,1
深圳市皇庭投资管理有限公司,苏州和瑞九鼎投资中心(有限合伙),1
深圳市皇庭投资管理有限公司,中铁宝盈资产-浦发银行-中铁宝盈-宝鑫77号特定客户资产管理计划,1
深圳市皇庭产业控股有限公司,苏州和瑞九鼎投资中心(有限合伙),1
深圳市皇庭产业控股有限公司,中铁宝盈资产-浦发银行-中铁宝盈-宝鑫77号特定客户资产管理计划,1
苏州和瑞九鼎投资中心(有限合伙),中铁宝盈资产-浦发银行-中铁宝盈-宝鑫77号特定客户资产管理计划,1
